Price,LivingArea,Bathrooms,Bedrooms,LotSize,Age,Fireplace
16858,1629,1,3,0.76,180,0
26049,1344,2,3,0.92,13,0
26130,822,1,2,0.56,173,0
31113,1540,1,2,0.04,115,0
40932,1320,1,3,0.17,90,0
44674,1214,1,3,0.14,103,0
44873,882,1.5,3,0.18,71,0
45004,960,1,2,0.54,11,0
45904,1328,1,4,0.19,103,0
47630,1235,1,3,0.32,84,1
49211,800,1,2,0.46,55,0
49564,1363,2,3,2.4,39,0
50483,743,1,3,0.05,105,0
50709,960,1.5,2,0.01,12,0
51183,1144,1,3,0.64,15,0
52360,1310,1.5,4,0.24,120,0
54210,792,1,2,0.4,55,0
55817,1688,2,5,0.17,119,0
55851,990,1.5,2,0.08,75,0
57678,924,1,1,0.17,104,0
59003,3285,2,5,0.42,233,0
59043,1668,1.5,4,0.06,115,0
60238,1664,1.5,3,0.21,76,0
60309,2039,1,3,0.24,55,0
62105,1228,1,2,0.31,53,0
62938,1064,1,3,0.13,95,0
63101,1628,1,2,0.06,124,0
63852,1536,1.5,4,0.46,30,1
64174,672,1,2,0.36,46,0
64552,1298,1,3,0.24,106,0
65325,813,1,2,0.39,68,0
65550,1196,1.5,4,0.15,56,0
65615,924,1,3,3.17,39,0
66027,1653,2,3,0.48,79,0
67951,1040,1,2,0.17,19,0
68353,1216,1,2,0.61,101,0
69152,986,1,3,0.06,133,0
69463,1170,1,2,0.09,110,0
69814,840,1,1,0.18,57,1
69876,976,2,2,0.34,21,0
71647,2087,2.5,3,0.56,0,1
71904,957,1,3,0.19,45,0
72189,1594,1.5,4,0.21,81,0
73892,864,1.5,3,0.07,114,0
74421,1928,2,4,0.27,134,1
74422,1708,1,2,0.87,39,1
74422,2708,2,4,1.2,21,0
75094,728,1,2,0.06,22,0
75399,988,1,2,0.15,20,0
75606,912,1.5,2,0.15,19,0
75862,995,1,3,0.38,47,0
75975,1300,2,3,0.49,227,1
76342,896,1,2,0,48,0
77547,908,1,2,0.16,19,0
77650,1620,1.5,4,0.04,99,0
77921,1704,1,2,2.5,177,0
78191,1080,2,3,1,15,0
79116,908,1,2,0.15,19,0
79170,1536,2,3,0.15,105,0
79567,908,1,2,0.16,19,0
79893,2634,2.5,4,0.24,83,0
79982,1572,1.5,4,0.39,41,0
80130,1225,1,3,0.24,48,1
80248,1600,1.5,3,0.36,16,0
80540,1380,1.5,2,0.13,0,0
81580,1336,1.5,2,0.35,20,1
81762,1008,1,3,0.33,41,0
81762,912,1.5,2,0.15,19,0
82019,1518,1,3,0.04,130,0
82556,1480,1.5,3,0.1,14,1
83617,1272,1.5,4,0.19,115,0
84291,924,1,3,0.91,15,0
84291,924,1,3,0.91,15,0
84291,1480,2.5,2,0.07,14,1
84333,2043,1.5,4,0.32,94,1
85560,2068,1,4,1,104,1
85585,912,1.5,2,0.16,20,0
85939,1527,2,2,0.31,17,1
86651,1140,1.5,2,0.08,18,0
87588,1392,1,2,0.24,17,0
87852,1270,1,3,0.04,110,0
87852,976,2,2,0.31,23,0
88092,3944,1,4,1.64,185,1
88092,1572,1.5,4,0.06,50,1
88092,929,1.5,2,0.18,22,0
88207,1480,1.5,3,0.07,14,0
88770,1000,1,3,0.52,91,0
89232,960,1,3,1,51,0
89306,1480,1.5,3,0.21,19,0
89432,1132,1,2,0.16,25,1
89893,960,1,2,0.36,48,0
89893,1480,2.5,2,0.29,14,1
89955,1216,1,3,0.21,129,0
90354,912,1.5,2,0.16,16,0
90446,1256,1.5,3,0.21,19,0
90446,1200,2,3,0.56,10,0
90678,957,1,3,0.18,49,0
91386,1120,1,3,0.11,14,0
